alpha,beta,sigma,x0_alpha,x0_beta,x0_sigma,func_obj,rmse
146218.7970109002,19358.133361624426,18.24795065189151,1500.0,200.0,24.5,48092.37,22.98885845700745
129235.16657634941,17132.63025432788,18.23993086404999,1500.0,200.0,30.0,48124.39,22.9965102143594
6873.044383282549,1130.1514254703743,17.014790053515053,6888.888888888889,20.0,8.0,55581.74,24.714133498481324
6906.193138800435,1134.581877792896,17.020019435512936,6888.888888888889,20.0,13.5,55529.76,24.702574095077072
6877.8295028432885,1130.7743308466179,17.015600748144045,6888.888888888889,20.0,19.0,55574.2,24.71245591886405
6864.529731749077,1129.0119968547592,17.01344344992421,6888.888888888889,20.0,24.5,55595.21,24.717126282816352
219613.7134309002,29680.495114606063,18.173177761227628,6888.888888888889,20.0,30.0,48089.62,22.988200529299775
260232.89324282543,34298.8551018955,18.275310813765753,6888.888888888889,65.0,8.0,47986.96,22.963649634770846
6872.942918064339,1130.1187167084981,17.01483473189275,6888.888888888889,65.0,13.5,55581.9,24.714169213498412
80362.37596040753,11392.786618935595,17.9617917423329,6888.888888888889,65.0,19.0,48787.28,23.15435072884884
6877.636565443094,1130.7596245135496,17.015535193783858,6888.888888888889,65.0,24.5,55574.5,24.712523460824684
6861.297028319258,1128.566226754986,17.012972621981454,6888.888888888889,65.0,30.0,55600.33,24.718265218833082
6872.284983380656,1130.049253123703,17.01467451481526,6888.888888888889,110.0,8.0,55582.94,24.714400026987764
6872.714541975934,1130.0903403903678,17.014790184584847,6888.888888888889,110.0,13.5,55582.27,24.714249348902975
6872.587067520018,1130.0874106411986,17.01472664538996,6888.888888888889,110.0,19.0,55582.47,24.714294007236305
6872.424209242076,1130.0622447629553,17.01471073759984,6888.888888888889,110.0,24.5,55582.72,24.71435118779407
6873.104231796609,1130.15739804407,17.014805382442102,6888.888888888889,110.0,30.0,55581.65,24.71411250760231
6868.387597997773,1129.516699817265,17.014090089555253,6888.888888888889,155.0,8.0,55589.1,24.715769175091626
6868.593158605405,1129.5517675813564,17.014099285057206,6888.888888888889,155.0,13.5,55588.78,24.715696858883323
6868.546180203209,1129.5456107458285,17.014090215911015,6888.888888888889,155.0,19.0,55588.85,24.715713371728988
6867.957142647239,1129.4502257178183,17.01404881214254,6888.888888888889,155.0,24.5,55589.78,24.715920581918553
6874.344914557838,1130.3277487389817,17.01498798074208,6888.888888888889,155.0,30.0,55579.69,24.713677223881934
6864.662292126412,1129.0205144480192,17.01349293683994,6888.888888888889,200.0,8.0,55595.0,24.717079696022743
6857.564943165419,1128.0260360540103,17.01250722963021,6888.888888888889,200.0,13.5,55606.25,24.71958223323636
6864.689997456371,1129.022842828168,17.013501614662047,6888.888888888889,200.0,19.0,55594.95,24.717069954972246
6864.70031526589,1129.0331309424032,17.013475861706567,6888.888888888889,200.0,24.5,55594.94,24.717066244078744
147116.56905251113,19931.799963364796,18.15645717516078,6888.888888888889,200.0,30.0,48163.64,23.005886203113803
12264.394040559957,1817.233295071802,17.583542479096756,12277.777777777777,20.0,8.0,51453.64,23.778657972726915
12260.789875933977,1816.7388135610731,17.583388129251308,12277.777777777777,20.0,13.5,51454.96,23.778962691421007
12256.561798766748,1816.193763430292,17.583135234949147,12277.777777777777,20.0,19.0,51456.5,23.779320404219224
12250.959962224462,1815.4266603954616,17.58289280953813,12277.777777777777,20.0,24.5,51458.56,23.779794856184612
12256.502946830042,1816.190553621869,17.58312155913386,12277.777777777777,20.0,30.0,51456.52,23.779325381501756
12261.516438570137,1816.8524210389198,17.583390539218474,12277.777777777777,65.0,8.0,51454.69,23.77890123395757
12263.518351199189,1817.1277074716954,17.583475306609493,12277.777777777777,65.0,13.5,51453.96,23.778731980841204
12259.345157243573,1816.6092819714506,17.583185974251943,12277.777777777777,65.0,19.0,51455.48,23.779084859101854
12249.798398358404,1815.2706751261646,17.582836098245867,12277.777777777777,65.0,24.5,51458.98,23.779893298657196
12262.936243780723,1817.0322465817726,17.583482305327816,12277.777777777777,65.0,30.0,51454.17,23.778781197358477
12256.167806790945,1816.1251659685665,17.58314855009382,12277.777777777777,110.0,8.0,51456.65,23.77935377299796
12251.03220141521,1815.4672668782798,17.58283822835602,12277.777777777777,110.0,13.5,51458.53,23.779788694087458
12257.083621417518,1816.2664299719256,17.583152811339346,12277.777777777777,110.0,19.0,51456.31,23.77927623606394
12234.627180697884,1813.2792874979268,17.582000176603977,12277.777777777777,110.0,24.5,51464.56,23.781181025838986
289998.2762048198,38468.3802708018,18.250844431154608,12277.777777777777,110.0,30.0,47979.34,22.96182632843315
130177.94952033328,17302.39469195234,18.229762549849134,12277.777777777777,155.0,8.0,48123.26,22.996239209079313
12256.559943111137,1816.2012685853556,17.583118628418188,12277.777777777777,155.0,13.5,51456.5,23.779320554199753
12256.704479648231,1816.2169110245898,17.583134366176715,12277.777777777777,155.0,19.0,51456.45,23.779308323527214
12254.345424502544,1815.8746598855862,17.583071137179314,12277.777777777777,155.0,24.5,51457.32,23.779508078577162
12256.629351470445,1816.239726976164,17.58306308767536,12277.777777777777,155.0,30.0,51456.48,23.779314661985374
12251.78745102302,1815.5713492907666,17.58286516631,12277.777777777777,200.0,8.0,51458.25,23.77972469395039
12251.263342209932,1815.5147243693496,17.582810077341954,12277.777777777777,200.0,13.5,51458.45,23.779769086164652
12205.219364416902,1809.363780079772,17.58048780811152,12277.777777777777,200.0,19.0,51475.41,23.783688266557863
12251.60716814055,1815.527984913803,17.582895814927824,12277.777777777777,200.0,24.5,51458.32,23.779739992922714
12252.055530962643,1815.6194248327276,17.582852088696193,12277.777777777777,200.0,30.0,51458.15,23.779701970173463
17633.998279408195,2514.335513928758,17.8043110580148,17666.666666666664,20.0,8.0,50173.55,23.48100806567513
17664.60859270352,2518.369588125571,17.805112559724126,17666.666666666664,20.0,13.5,50168.82,23.47990074431113
17652.479039509984,2516.7752252324726,17.804789331915316,17666.666666666664,20.0,19.0,50170.7,23.480338999322818
17640.067085033905,2515.093382301377,17.804540136866358,17666.666666666664,20.0,24.5,50172.61,23.480788208561503
17644.101748118075,2515.698746176619,17.804527581916624,17666.666666666664,20.0,30.0,50171.99,23.480642080795878
17631.92288519344,2514.101995881303,17.80419640826572,17666.666666666664,65.0,8.0,50173.88,23.481083289745808
17642.6954696944,2515.500956851056,17.804506882467123,17666.666666666664,65.0,13.5,50172.21,23.480692994029145
17612.998001931126,2511.5738598347293,17.80374783859645,17666.666666666664,65.0,19.0,50176.81,23.481770302382433
17614.537127941865,2511.763239745972,17.80381116548231,17666.666666666664,65.0,24.5,50176.57,23.481714375985998
17642.897627482576,2515.5106602667665,17.804537554005254,17666.666666666664,65.0,30.0,50172.18,23.480685679443916
17647.36621912625,2516.1059312543857,17.804646764375764,17666.666666666664,110.0,8.0,50171.49,23.48052393855698
